cond_id,wave_deg,pip_deg,mcp_solved_deg,mass,gap,tilt_deg,f_star,n_trials,n_no_grasp,wall_s
w+15.0_p+06.0_m120,15.0,6.0,-2.0510864257812504,0.12,0.024000376051778977,0.8698304880826092,,4,0,147.88742971420288
w+15.0_p+04.0_m030,15.0,4.0,-0.7876586914062499,0.03,0.024000022927292336,0.5403763510775818,0.1791492662403853,18,0,458.04229760169983
w+15.0_p+02.0_m060,15.0,2.0,0.47698974609375006,0.06,0.024000912986205894,0.8151291370549079,0.48181996476807587,18,0,715.2607750892639
w+15.0_p+06.0_m030,15.0,6.0,-2.0510864257812504,0.03,0.024000376051778977,0.8698304880826092,0.17612666025127918,18,0,474.5231878757477
w+15.0_p+04.0_m060,15.0,4.0,-0.7876586914062499,0.06,0.024000022927292336,0.5403763510775818,0.40267155052569636,18,0,579.6528697013855
w+15.0_p+08.0_m120,15.0,8.0,-3.3108520507812496,0.12,0.02400051428155389,0.8019991396371862,,4,0,153.74129247665405
w+15.0_p+06.0_m060,15.0,6.0,-2.0510864257812504,0.06,0.024000376051778977,0.8698304880826092,0.3850059895264528,18,0,651.2269818782806
w+15.0_p+10.0_m120,15.0,10.0,-4.56451416015625,0.12,0.02400012296677979,0.44723282864425706,,4,0,149.67984247207642
w+15.0_p+08.0_m030,15.0,8.0,-3.3108520507812496,0.03,0.02400051428155389,0.8019991396371862,0.17612666025127918,18,0,514.5536558628082
w+15.0_p+10.0_m030,15.0,10.0,-4.56451416015625,0.03,0.02400012296677979,0.44723282864425706,0.17612666025127918,18,0,484.6844103336334
w+15.0_p+08.0_m060,15.0,8.0,-3.3108520507812496,0.06,0.02400051428155389,0.8019991396371862,0.368115432485176,18,0,665.0404667854309
w+15.0_p+10.0_m060,15.0,10.0,-4.56451416015625,0.06,0.02400012296677979,0.44723282864425706,0.3599500963648965,18,0,496.1225531101227
